titulo,isbn,autor,nota_minha,status
suicidas,978-8564065574,raphael montes,4,lido
tres,978-6555606645,valerie perrin,"4,5",lido
a empregada,978-6555655063,freida mcfadden,4,lido
o segredo da empregada,978-6555655940,freida mcfadden,"4,5",lido
a empregada esta de olho,978-6555656756,freida mcfadden,"3,5",lido
a paciente silenciosa,978-8501116437,alex michaelides,"4,5",lido
verity,978-8501117847,colleen hoover,5,lido
o massacre da familia hope,978-8551009833,riley sager,"4,5",lido
storytelling com dados,978-8550804682,cole nussbaumer knaflic,5,lido
jantar secreto,978-8535928358,raphael montes,"4,5",lido
dias perfeitos,978-8535941630,raphael montes,"3,5",lido
nunca minta,978-8501923288,freida mcfadden,"4,5",lido
a garota do lago,978-8562409882,charlie donlea,3,lido
a professora,978-8501922045,freida mcfadden,2,lido
o vilarejo,978-8581053042,raphael montes,5,lido
a cantiga dos passaros e das serpentes,978-6555320572,suzanne collins,5,lido
laranja mecanica,978-8576574460,anthony burgess,1,lido
jogos vorazes,978-6555321449,suzanne collins,5,lido
em chamas,978-6555321456,suzanne collins,"4,5",lido
a esperanca,978-6555321463,suzanne collins,5,lido
amanhecer na colheita,978-6555325201,suzanne collins,5,lido
homo deus,978-8543807829,yuval noah harari,"4,5",lido
sapiens,978-8535933925,yuval noah harari,5,lido
discurso sobre o colonialismo,978-8595710689,aime cesaire,"4,5",lido
pedagogia do oprimido,978-8577534180,paulo freire,,abandonado
modernidade liquida,978-6559790005,zygmunt bauman,,abandonado
o capital extratos por paul lafargue,978-8595710078,"karl marx, paul lafargue",,abandonado
a menina que roubava livros,978-8598078175,markus zusak,,abandonado
um amor para recordar,978-8580419818,nicholas sparks,4,lido
will e will um nome um destino,978-8501093882,"john green, david levithan",4,lido
harry potter e a pedra filosofal,978-8532511010,j k rowling,5,lido
harry potter e a camara secreta,978-8532511669,j k rowling,"4,5",lido
harry potter e o prisioneiro de azkaban,978-8532512062,j k rowling,,abandonado
a insustentavel leveza do ser,978-8535928839,milan kundera,,abandonado
a revolucao dos bichos,978-8535909555,george orwell,,abandonado
1984,978-8535914849,george orwell,5,lido
cidades de papel,978-8580573749,john green,4,lido
quem e voce alasca,978-8580576832,john green,5,lido
o teorema katherine,978-8580573152,john green,5,lido
o guia definitivo do mochileiro das galaxias,978-8530601492,douglas adams,,abandonado
o codigo da vinci,978-6555651041,dan brown,,abandonado
o cacador de pipas,978-8525054203,khaled hosseini,5,lido
extraordinario,978-8580573015,r j palacio,5,lido
um estranho no ninho,978-6585854016,ken kesey,,abandonado
gota dagua,978-8520003909,"chico buarque, paulo pontes","3,5",lido
noite do oraculo,978-8535904987,paul auster,,abandonado
olhos dagua,978-8534705257,conceicao evaristo,5,lido
peles negras mascaras brancas,978-6586497205,frants fanon,5,lido
alice aventuras de alice no pais das maravilhas e atraves do espelho e o que alice encontrou por la,978-8537801727,lewis carroll,,abandonado
cartas para algernon,978-8576573937,daniel keyes,5,lido
o retrato de dorian gray,978-6550970291,oscar wilde,,abandonado
as ultimas testemunhas,978-8535931006,svetlana aleksievitch,4,lido
o menino manba negra,978-6555680171,nadifa mohamed,,abandonado
o vermelho e o negro,978-6555526370,stendhal,,abandonado
uma vida com propositos,978-6555844900,rick warren,,abandonado
voce faz um mundo de diferenca,978-8578606336,"jenna lucado bishop, max lucado","3,5",lido
graca,978-8578602987,max lucado,,abandonado
o milagre da manha,978-8576849940,hal elrod,4,lido
o jeito harvard de ser feliz,978-6558101352,shawn achor,,abandonado
os segredos da mente milionaria,978-8543109787,t harv eker,5,lido
o coracao do artista,978-8587086181,rory noland,4,lido
a travessia,978-8580415148,william p youg,5,lido
a cabana,978-8599296363,william p youg,"4,5",lido
lua de larvas,978-8578277987,sally gardner,4,lido
o drama da crianca bem dotada,978-8532302755,alice miller,"4,5",lido
como fazer amigos e influenciar pessoas,978-8543108681,dale carnegie,2,lido
a ditadura envergonhada as ilusoes armadas,978-8580573978,elio gaspari,,abandonado
relacoes de genero e escutas clinicas,978-6598089436,jose stona,,abandonado
pensamento feminista conceitos fundamentais,978-8569924470,heloisa buarque de hollanda,4,lido
misbehaving,978-0393352795,richard h thaler,,abandonado
os grandes economistas,978-8525439345,linda yueh,,abandonado
para entender o mundo financeiro,978-8572441339,paul singer,3,lido
formacao economica do brasil,978-8535909524,celso furtado,4,lido
o mais importante para o investidor,978-6556600208,howard marks,,abandonado
pai rico pai pobre,978-8550801483,robert t kiyosaki,5,lido
paddy clarcke ha ha ha,978-8585865061,roddy doyle,,abandonado
o discipulo radical,978-8577790449,john stott,3,lido
o peregrino,978-6556601762,john bunyan,,abandonado
deixe a neve cair,978-8579801754,"john green, maureen johnson, lauren myracle",4,lido
a culpa e das estrelas,978-8580572261,john green,5,lido
perdao leonard peacock,978-8580573954,matthew quick,4,lido
as vantagens de ser invisivel,978-9892342795,stephen chbosky,4,lido